sample	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n	Sample	Species
SAMEA8701343	11208178	12891	869.46	55539	200	0	0	1724	1270	770	3273	283	8063	SAMEA8701343	Escherichia coli
SAMN15904826	2136959	1631	1310.21	36540	250	0	0	1607	381	1105	700	656	1195	SAMN15904826	Escherichia coli
SAMEA110471345	8452338	8289	1019.71	60622	200	0	0	2021	962	964	2165	339	5101	SAMEA110471345	Escherichia coli
SAMN07197414	185761	21	8845.76	103129	298	0	0	103129	1	29408	2	5024	6	SAMN07197414	Escherichia coli
SAMEA18844918	518641	342	1516.49	6873	240	0	0	1651	89	1196	164	819	269	SAMEA18844918	Escherichia coli
SAMEA6424950	9396260	7318	1283.99	80742	200	0	0	3578	488	1378	1348	430	3961	SAMEA6424950	Escherichia coli
SAMEA104121202	6085606	690	8819.72	164509	201	0	0	35066	51	18133	98	4270	231	SAMEA104121202	Escherichia coli
SAMN04388567	5764203	792	7278.03	76296	203	0	0	15462	109	9946	202	3944	370	SAMN04388567	Escherichia coli
SAMN35126855	2524461	361	6992.97	72154	200	0	0	18517	40	11012	73	4768	139	SAMN35126855	Escherichia coli
SAMEA111272913	5718548	606	9436.55	235675	200	0	0	49247	33	29006	63	6036	149	SAMEA111272913	Escherichia coli
SAMN30416033	7430898	7597	978.14	44397	200	0	0	1756	1074	919	2238	363	4832	SAMN30416033	Escherichia coli
SAMN12533183	7522937	8264	910.33	39360	200	0	0	1481	1103	724	2587	349	5745	SAMN12533183	Escherichia coli
SAMN08865311	610304	113	5400.92	31479	431	0	0	7322	24	5070	44	2743	75	SAMN08865311	Escherichia coli
SAMD00243952	5032246	1473	3416.32	72058	204	0	0	5322	242	3310	480	1460	932	SAMD00243952	Escherichia coli
SAMN12781018	10400165	8765	1186.56	55586	200	0	0	4223	588	1611	1364	358	4650	SAMN12781018	Escherichia coli
SAMEA3982148	7058992	2599	2716.04	135334	202	0	0	6437	267	3061	585	910	1390	SAMEA3982148	Escherichia coli
SAMEA7356855	6597662	2133	3093.14	124538	200	0	0	10219	139	5032	324	1252	850	SAMEA7356855	Escherichia coli
SAMEA111274207	9879531	5973	1654.03	100236	201	0	0	14800	157	5382	368	425	2421	SAMEA111274207	Escherichia coli
SAMN18528213	8861855	10953	809.08	55724	201	0	0	1344	1389	666	3298	264	7474	SAMN18528213	Escherichia coli
SAMEA9477858	9864580	4342	2271.9	91395	200	0	0	17898	158	7959	316	578	1362	SAMEA9477858	Escherichia coli
SAMEA9837965	299486	39	7679.13	52436	207	0	0	14957	4	10570	9	3430	19	SAMEA9837965	Escherichia coli
SAMEA112764532	3728978	1535	2429.3	36746	231	0	0	3411	290	2070	571	1112	1058	SAMEA112764532	Escherichia coli
SAMN08797360	10164055	4998	2033.62	115103	206	0	0	10480	262	4844	545	576	2082	SAMN08797360	Escherichia coli
SAMEA20137918	3638436	921	3950.53	57517	319	0	0	5581	193	3650	357	1881	625	SAMEA20137918	Escherichia coli
SAMEA104292747	8404532	5619	1495.73	44842	201	0	0	2788	665	1474	1503	596	3333	SAMEA104292747	Escherichia coli
SAMEA3321999	7440259	2031	3663.35	65252	201	0	0	9163	214	4931	430	1421	972	SAMEA3321999	Escherichia coli
SAMN29870560	3677149	359	10242.75	326977	207	0	0	86407	12	46137	24	3754	94	SAMN29870560	Escherichia coli
SAMEA5043325	7166956	7057	1015.58	36676	200	0	0	3050	553	1247	1280	265	3878	SAMEA5043325	Escherichia coli
SAMN03265466	5839551	1046	5582.74	199915	202	0	0	37185	39	14131	87	2087	293	SAMN03265466	Escherichia coli
SAMN04388559	6616454	4350	1521.02	52218	200	0	0	6459	278	3076	570	551	1538	SAMN04388559	Escherichia coli
SAMN12731768	10306997	4011	2569.68	100182	201	0	0	24160	124	12457	237	639	1096	SAMN12731768	Escherichia coli
SAMN26378911	5420510	2880	1882.12	53715	200	0	0	3839	431	2496	780	969	1440	SAMN26378911	Escherichia coli
SAMD00254132	147106	36	4086.28	68506	255	0	0	37193	2	37193	2	752	11	SAMD00254132	Escherichia coli
SAMEA5624202	168182	1	168182.0	168182	168182	0	0	168182	1	168182	1	168182	1	SAMEA5624202	Escherichia coli
SAMN39401768	6158491	703	8760.3	163967	201	0	0	34267	48	15052	102	3540	263	SAMN39401768	Escherichia coli
SAMEA110347799	6501033	1074	6053.1	155745	388	0	0	19058	85	8824	184	2092	496	SAMEA110347799	Escherichia coli
SAMEA7356849	8112427	4677	1734.54	110961	202	0	0	3481	497	1810	1153	668	2618	SAMEA7356849	Escherichia coli
SAMN24387246	8259998	7891	1046.76	58944	200	0	0	2567	613	900	1731	356	4860	SAMN24387246	Escherichia coli
SAMN35713771	6621373	2547	2599.68	77304	200	0	0	9496	192	4937	386	1236	882	SAMN35713771	Escherichia coli
SAMEA20084668	2339589	1270	1842.2	35697	200	0	0	2257	323	1578	571	917	953	SAMEA20084668	Escherichia coli
SAMEA111271486	6419718	241	26637.83	294974	203	0	0	104232	19	48957	38	19148	77	SAMEA111271486	Escherichia coli
SAMEA104128323	5016210	167	30037.19	668270	220	0	0	158449	10	95960	18	42163	33	SAMEA104128323	Escherichia coli
SAMEA9552143	5170224	262	19733.68	270274	210	0	0	79590	20	43369	37	18883	73	SAMEA9552143	Escherichia coli
SAMEA8581487	4926036	305	16150.94	287376	200	0	0	70741	21	49696	36	15843	72	SAMEA8581487	Escherichia coli
SAMEA5818336	5347728	186	28751.23	379312	202	0	0	145924	14	75970	23	31263	44	SAMEA5818336	Escherichia coli
SAMN29503727	5186103	173	29977.47	347817	200	0	0	163249	10	76650	20	29903	41	SAMN29503727	Escherichia coli
SAMN15686874	4579632	558	8207.23	99138	200	0	0	28719	46	17132	87	5975	174	SAMN15686874	Escherichia coli
SAMN19918870	5499172	337	16318.02	375376	200	0	0	168495	11	111481	18	47564	32	SAMN19918870	Escherichia coli
SAMN14734126	5048908	196	25759.73	427917	202	0	0	233288	8	113514	15	39947	29	SAMN14734126	Escherichia coli
SAMN30789430	4945326	165	29971.67	450070	200	0	0	164466	11	88556	19	36340	36	SAMN30789430	Escherichia coli
SAMEA4552038	5279446	213	24786.13	399414	200	0	0	154261	11	94851	20	25277	42	SAMEA4552038	Escherichia coli
SAMN29642170	5277384	214	24660.67	239903	202	0	0	114690	16	58480	29	17298	59	SAMN29642170	Escherichia coli
SAMN04562597	4481395	129	34739.5	295463	203	0	0	98486	16	47119	30	29385	53	SAMN04562597	Escherichia coli
SAMN20880147	5460996	369	14799.45	375050	203	0	0	145717	12	106226	21	25123	43	SAMN20880147	Escherichia coli
SAMN04518098	5304174	403	13161.72	175219	204	0	0	53004	28	35393	51	10251	104	SAMN04518098	Escherichia coli
SAMEA12311016	4814133	228	21114.62	232374	206	0	0	97774	17	57439	29	18251	61	SAMEA12311016	Escherichia coli
SAMN40556821	5623668	530	10610.69	242466	200	0	0	114193	18	66922	31	15219	62	SAMN40556821	Escherichia coli
SAMN36887237	5326178	186	28635.37	382784	212	0	0	172789	11	119242	18	47762	30	SAMN36887237	Escherichia coli
SAMN21572772	5581393	431	12949.87	375388	200	0	0	149433	11	85300	21	25124	44	SAMN21572772	Escherichia coli
SAMN12860496	4577019	105	43590.66	414025	203	0	0	112869	12	78669	21	32390	39	SAMN12860496	Escherichia coli
SAMN30497349	5452109	370	14735.43	357302	201	0	0	135712	13	76813	24	23279	48	SAMN30497349	Escherichia coli
SAMN20848547	5085589	324	15696.26	398939	202	0	0	144051	11	89446	20	26471	40	SAMN20848547	Escherichia coli
SAMEA104448951	5307573	160	33172.33	517596	205	0	0	102239	14	74969	26	30931	48	SAMEA104448951	Escherichia coli
SAMN05966694	4516700	444	10172.75	95670	202	0	0	29667	48	19349	86	6403	166	SAMN05966694	Escherichia coli
SAMN34267443	5216909	354	14737.03	335233	201	0	0	122636	12	88693	21	20343	46	SAMN34267443	Escherichia coli
SAMN10925826	5310081	375	14160.22	376966	200	0	0	106365	14	69630	25	22840	51	SAMN10925826	Escherichia coli
SAMN09298278	4556133	531	8580.29	88222	200	0	0	22839	61	14040	111	4930	212	SAMN09298278	Escherichia coli
SAMEA8272085	5099939	181	28176.46	387982	201	0	0	231721	9	160404	14	55702	25	SAMEA8272085	Escherichia coli
SAMEA8933005	5721469	622	9198.5	230588	200	0	0	114612	20	54446	33	10768	71	SAMEA8933005	Escherichia coli
SAMEA5376148	5277851	388	13602.71	281617	201	0	0	86106	19	61033	34	20928	60	SAMEA5376148	Escherichia coli
SAMN28592759	4870669	100	48706.69	683527	208	0	0	403022	5	242327	8	87485	15	SAMN28592759	Escherichia coli
SAMD00107032	3948587	39	101245.82	1012461	200	0	0	433604	4	376067	5	136796	9	SAMD00107032	Escherichia coli
SAMN13024119	5185659	132	39285.3	772834	202	0	0	273651	6	153319	11	52546	21	SAMN13024119	Escherichia coli
SAMEA8272945	4996810	171	29221.11	314554	201	0	0	136162	12	82037	22	29649	41	SAMEA8272945	Escherichia coli
SAMD00499998	5186889	165	31435.69	402315	205	0	0	144111	12	104606	20	33788	36	SAMD00499998	Escherichia coli
SAMEA2205040	5286066	170	31094.51	595540	214	0	0	198728	9	138721	15	36736	28	SAMEA2205040	Escherichia coli
SAMN30941687	5359294	423	12669.73	366803	202	0	0	77839	20	45307	38	17242	72	SAMN30941687	Escherichia coli
SAMN09483839	5412017	310	17458.12	468815	200	0	0	109283	16	63127	28	24553	54	SAMN09483839	Escherichia coli
SAMN39271350	5195972	175	29691.27	326431	213	0	0	161828	12	91889	20	31040	38	SAMN39271350	Escherichia coli
SAMN36848553	4747864	125	37982.91	403438	204	0	0	138069	10	88379	18	37181	34	SAMN36848553	Escherichia coli
SAMN35131763	4295319	1241	3461.18	38669	200	0	0	7829	158	5262	293	2344	527	SAMN35131763	Escherichia coli
SAMN14349651	5179214	267	19397.81	342760	200	0	0	111962	16	55156	30	15430	60	SAMN14349651	Escherichia coli
SAMEA6450866	4915766	109	45098.77	394631	220	0	0	151801	11	102175	19	35566	35	SAMEA6450866	Escherichia coli
SAMN14503413	4850977	208	23322.0	191368	200	0	0	54050	26	36314	48	15161	87	SAMN14503413	Escherichia coli
SAMN12731536	5155906	86	59952.4	1220093	211	0	0	275548	5	175588	10	95653	17	SAMN12731536	Escherichia coli
SAMN08797033	5576937	398	14012.4	442530	201	0	0	90691	19	37631	38	7481	103	SAMN08797033	Escherichia coli
SAMN15717382	4991283	211	23655.37	241918	207	0	0	138787	13	76222	23	24594	47	SAMN15717382	Escherichia coli
SAMN28880011	4656906	218	21361.95	182901	201	0	0	64083	23	39383	42	15772	77	SAMN28880011	Escherichia coli
SAMN41120256	4466881	535	8349.31	88310	201	0	0	25061	55	15502	101	5839	190	SAMN41120256	Escherichia coli
SAMN12438411	4722095	52	90809.52	628858	223	0	0	334120	6	268970	9	88280	16	SAMN12438411	Escherichia coli
SAMEA6491791	5294086	201	26338.74	520971	203	0	0	231778	8	128419	14	42217	29	SAMEA6491791	Escherichia coli
SAMN11444786	5194042	279	18616.64	593066	203	0	0	231343	7	84715	15	28702	33	SAMN11444786	Escherichia coli
SAMN37429484	5036776	347	14515.2	134260	200	0	0	39344	39	23916	71	9699	137	SAMN37429484	Escherichia coli
SAMEA8946557	4828167	73	66139.27	590855	201	0	0	259689	7	164519	12	66881	22	SAMEA8946557	Escherichia coli
SAMN33827464	5215519	381	13689.03	315162	201	0	0	136081	13	88930	22	20343	48	SAMN33827464	Escherichia coli
SAMN35991226	5373768	338	15898.72	375993	200	0	0	160708	10	107339	19	41112	33	SAMN35991226	Escherichia coli
SAMN38089891	4953361	136	36421.77	308493	205	0	0	92653	16	74271	28	27748	52	SAMN38089891	Escherichia coli
SAMEA111272590	5165625	177	29184.32	336251	202	0	0	111529	16	63527	28	30636	50	SAMEA111272590	Escherichia coli
SAMEA3534219	4016757	665	6040.24	49669	202	0	0	12950	92	8384	171	3576	313	SAMEA3534219	Escherichia coli
SAMN15345010	5474527	451	12138.64	674191	200	0	0	201748	9	99387	17	26324	38	SAMN15345010	Escherichia coli
SAMN27524684	5143257	134	38382.51	401564	223	0	0	165344	10	109386	18	47713	30	SAMN27524684	Escherichia coli
SAMN08092932	5490925	421	13042.58	256652	200	100	1	107542	19	54644	33	12440	67	SAMN08092932	Escherichia coli
SAMN29405900	4501059	570	7896.59	99137	200	0	0	29344	46	16845	87	5883	176	SAMN29405900	Escherichia coli
SAMN25512722	5376703	459	11713.95	277225	201	0	0	97300	17	44051	33	12449	74	SAMN25512722	Escherichia coli
SAMEA6424143	5462232	306	17850.43	413623	200	0	0	138460	13	76029	24	34705	45	SAMEA6424143	Escherichia coli
SAMEA111331624	4781235	240	19921.81	202984	206	0	0	81383	20	44438	37	16759	69	SAMEA111331624	Escherichia coli
SAMEA111330879	5303775	165	32144.09	691582	202	0	0	269641	6	188763	11	57137	20	SAMEA111330879	Escherichia coli
SAMN25988629	5290661	210	25193.62	444783	201	0	0	118642	15	67979	27	29427	50	SAMN25988629	Escherichia coli
SAMN04351460	5635649	470	11990.74	357112	200	100	1	104253	18	50722	33	12454	69	SAMN04351460	Escherichia coli
SAMN38814122	5011808	151	33190.78	420806	208	0	0	150865	10	101922	18	38222	32	SAMN38814122	Escherichia coli
SAMN38093840	5143244	142	36220.03	400602	205	0	0	189473	9	111652	16	48050	31	SAMN38093840	Escherichia coli
SAMN14345049	5103572	175	29163.27	663259	201	0	0	250477	7	157237	12	41681	23	SAMN14345049	Escherichia coli
SAMN16787801	5022331	96	52315.95	421779	202	0	0	347510	7	233017	10	82785	18	SAMN16787801	Escherichia coli
SAMN04148328	5465099	381	14344.09	363211	200	0	0	127340	14	67779	26	13617	60	SAMN04148328	Escherichia coli
SAMN41782197	4636051	454	10211.57	100957	201	0	0	23281	60	13985	111	5586	212	SAMN41782197	Escherichia coli
SAMN03492448	5389203	392	13747.97	278680	200	0	0	58131	27	33950	51	11450	99	SAMN03492448	Escherichia coli
SAMN14519245	5182023	212	24443.5	611479	201	0	0	173842	9	113692	16	24014	32	SAMN14519245	Escherichia coli
SAMEA20050918	4579155	306	14964.56	137047	203	0	0	34985	39	20912	72	8064	142	SAMEA20050918	Escherichia coli
SAMN12359552	5045400	127	39727.56	350119	229	0	0	184995	10	126762	16	52670	28	SAMN12359552	Escherichia coli
SAMEA4363599	4912608	130	37789.29	305525	219	0	0	108918	16	76973	26	27959	46	SAMEA4363599	Escherichia coli
SAMN36842638	5469642	415	13179.86	319124	200	0	0	101010	17	71939	30	20549	56	SAMN36842638	Escherichia coli
SAMN33712828	4608401	550	8378.91	137194	200	0	0	34351	43	17869	80	5994	163	SAMN33712828	Escherichia coli
SAMEA4362899	4786703	96	49861.49	580639	219	0	0	185321	8	112285	15	47730	26	SAMEA4362899	Escherichia coli
SAMN28817119	5752724	486	11836.88	517075	200	0	0	124349	14	60823	26	18248	54	SAMN28817119	Escherichia coli
SAMEA5622606	5333156	251	21247.63	241032	200	0	0	91862	18	75691	31	27709	53	SAMEA5622606	Escherichia coli
SAMN41608864	4810885	503	9564.38	83009	200	0	0	22738	61	14048	114	5077	220	SAMN41608864	Escherichia coli
SAMN07676278	4873231	51	95553.55	653684	203	0	0	277379	6	186501	11	85320	19	SAMN07676278	Escherichia coli
SAMN08095838	5261631	315	16703.59	369998	200	0	0	106874	14	66074	27	21428	52	SAMN08095838	Escherichia coli
SAMEA104292490	4852296	157	30906.34	362206	200	0	0	131119	12	102346	20	39234	33	SAMEA104292490	Escherichia coli
SAMN29854030	5170712	209	24740.25	515302	208	0	0	240969	8	125864	14	52432	26	SAMN29854030	Escherichia coli
SAMN40748913	4976546	151	32957.26	348674	203	0	0	139125	12	79694	21	29600	41	SAMN40748913	Escherichia coli
SAMEA5621932	5162570	198	26073.59	191762	201	0	0	100030	21	65040	33	31303	54	SAMEA5621932	Escherichia coli
SAMN09405621	4652437	124	37519.65	342260	231	0	0	150124	12	101207	19	43685	33	SAMN09405621	Escherichia coli
SAMEA104407616	5133136	166	30922.51	410473	202	200	2	133545	12	76758	22	22779	49	SAMEA104407616	Escherichia coli
SAMN37211091	5293115	427	12396.05	155828	200	0	0	50275	33	28337	61	11022	118	SAMN37211091	Escherichia coli
SAMN37285046	5277753	391	13498.09	315234	201	0	0	130551	13	96420	22	22868	45	SAMN37285046	Escherichia coli
SAMN12499520	4830369	579	8342.61	88340	211	0	0	25752	57	14626	105	5270	208	SAMN12499520	Escherichia coli
SAMN12860963	5395890	325	16602.74	619857	202	0	0	188562	9	100282	17	43410	33	SAMN12860963	Escherichia coli
SAMN40702605	4535531	453	10012.21	88270	201	0	0	25290	56	15420	102	6121	191	SAMN40702605	Escherichia coli
SAMN41063976	5226839	218	23976.33	181192	209	0	0	98092	20	47075	35	23382	65	SAMN41063976	Escherichia coli
SAMN11419349	4567687	584	7821.38	137320	200	0	0	31449	44	17754	82	5910	169	SAMN11419349	Escherichia coli
SAMN40377628	5424294	352	15409.93	324594	201	0	0	122290	14	56879	28	19246	56	SAMN40377628	Escherichia coli
SAMEA110237351	4895744	195	25106.38	274160	200	0	0	82835	20	57592	35	19968	59	SAMEA110237351	Escherichia coli
SAMN10624499	5096289	183	27848.57	327315	204	0	0	129705	12	99544	20	40280	35	SAMN10624499	Escherichia coli
SAMN34420482	5431257	236	23013.8	388426	213	0	0	101816	15	61403	29	23922	54	SAMN34420482	Escherichia coli
SAMEA8892589	4454809	578	7707.28	81641	202	0	0	20724	62	11724	119	4375	239	SAMEA8892589	Escherichia coli
SAMEA115627515	5076660	219	23181.1	443610	200	0	0	99908	15	56454	28	19554	58	SAMEA115627515	Escherichia coli
SAMEA4643259	4663369	99	47104.74	265456	204	0	0	132691	12	100213	20	43657	34	SAMEA4643259	Escherichia coli
SAMN12731575	5328056	178	29932.9	956744	202	0	0	228276	6	159189	11	41740	21	SAMN12731575	Escherichia coli
SAMN21615240	5523679	418	13214.54	326707	204	0	0	119085	15	60062	28	24107	55	SAMN21615240	Escherichia coli
SAMEA13790067	4607297	158	29160.11	395628	200	0	0	96960	14	64223	26	23360	48	SAMEA13790067	Escherichia coli
SAMN27524774	5459622	258	21161.33	515067	200	0	0	147878	11	86489	22	26363	44	SAMN27524774	Escherichia coli
SAMEA12921754	5128288	175	29304.5	265912	216	0	0	122262	14	89731	24	38003	42	SAMEA12921754	Escherichia coli
SAMN15249552	4750169	85	55884.34	418328	207	0	0	129927	10	104224	18	48722	30	SAMN15249552	Escherichia coli
SAMN05750765	4434735	462	9598.99	79795	200	0	0	23385	56	14006	105	5425	201	SAMN05750765	Escherichia coli
SAMN25142755	4899891	220	22272.23	204457	216	0	0	60438	26	36976	47	15244	83	SAMN25142755	Escherichia coli
SAMN30937779	5033452	169	29783.74	285646	206	0	0	117387	15	65471	26	24362	50	SAMN30937779	Escherichia coli
SAMN18083105	5161965	186	27752.5	319780	200	0	0	136249	13	74030	23	24478	44	SAMN18083105	Escherichia coli
SAMN28173732	5488018	578	9494.84	248173	201	0	0	67604	24	43489	44	9950	95	SAMN28173732	Escherichia coli
SAMN41063120	4812950	88	54692.61	573935	217	0	0	193125	8	120757	14	52630	25	SAMN41063120	Escherichia coli
SAMEA8933301	5316083	262	20290.39	368166	200	0	0	112243	16	55692	30	18616	59	SAMEA8933301	Escherichia coli
SAMN14519085	5320725	222	23967.23	392561	200	0	0	179574	11	117974	18	31972	35	SAMN14519085	Escherichia coli
SAMN18795241	5284950	376	14055.72	273451	200	0	0	83990	18	41314	37	13639	80	SAMN18795241	Escherichia coli
SAMEA110237023	5279351	339	15573.31	208751	203	0	0	69034	24	41391	44	15492	84	SAMEA110237023	Escherichia coli
SAMN31155454	5158761	319	16171.66	287556	203	0	0	151524	12	88888	20	24507	42	SAMN31155454	Escherichia coli
SAMEA113604147	4896667	153	32004.36	626864	221	0	0	216055	6	113085	13	34456	29	SAMEA113604147	Escherichia coli
SAMN26497680	5245182	211	24858.68	709282	200	0	0	243060	7	139045	13	35087	26	SAMN26497680	Escherichia coli
SAMEA5719503	4577646	101	45323.23	414033	207	0	0	148541	10	88520	18	32398	35	SAMEA5719503	Escherichia coli
SAMN23844042	5459628	208	26248.21	489570	201	0	0	155634	9	107445	18	38626	35	SAMN23844042	Escherichia coli
SAMN42469888	4862549	98	49617.85	739544	222	0	0	231523	6	150085	11	77202	19	SAMN42469888	Escherichia coli
SAMN28743487	5140879	309	16637.15	181098	200	0	0	44731	35	30024	64	10026	120	SAMN28743487	Escherichia coli
SAMN05980776	5287893	322	16422.03	480598	200	0	0	135770	14	92277	22	28245	46	SAMN05980776	Escherichia coli
SAMN12179909	4478941	543	8248.51	88310	201	0	0	22454	58	14020	109	5243	208	SAMN12179909	Escherichia coli
SAMN41032430	5482990	509	10772.08	264029	201	0	0	93648	21	54047	35	11345	76	SAMN41032430	Escherichia coli
SAMN26747757	5522224	394	14015.8	315519	202	0	0	160031	13	60822	24	24795	48	SAMN26747757	Escherichia coli
SAMN16245136	5145998	230	22373.9	367588	204	0	0	99370	14	79659	25	35068	44	SAMN16245136	Escherichia coli
SAMN20125891	5219461	170	30702.71	378384	204	0	0	149618	11	109191	19	36388	35	SAMN20125891	Escherichia coli
SAMN26309043	5206610	133	39147.44	682209	201	0	0	363743	5	230196	9	93439	16	SAMN26309043	Escherichia coli
SAMN13829790	5083208	174	29213.84	452549	208	0	0	255420	8	191252	12	36107	24	SAMN13829790	Escherichia coli
SAMN41178223	5139944	388	13247.28	262356	200	0	0	105392	17	59625	30	14545	67	SAMN41178223	Escherichia coli
SAMEA12944077	5428542	247	21977.9	613603	202	0	0	132756	11	64418	22	26432	46	SAMEA12944077	Escherichia coli
SAMEA115376138	5598596	495	11310.29	344845	202	0	0	120325	14	94360	25	19705	49	SAMEA115376138	Escherichia coli
SAMN35723139	5554116	495	11220.44	336299	202	0	0	126548	15	82621	25	18942	53	SAMN35723139	Escherichia coli
SAMEA10300602	5033670	99	50845.15	934214	206	0	0	319289	5	152015	10	72808	19	SAMEA10300602	Escherichia coli
SAMN21590345	5456235	163	33473.83	536453	212	0	0	244220	8	140205	14	41451	26	SAMN21590345	Escherichia coli
SAMEA7281103	5265707	207	25438.2	332069	201	0	0	95168	14	68789	28	31591	50	SAMEA7281103	Escherichia coli
SAMEA7330209	4770113	124	38468.65	767796	200	0	0	215775	5	158122	10	64811	19	SAMEA7330209	Escherichia coli
SAMN21157004	5226670	113	46253.72	577936	202	0	0	199162	8	117415	15	35690	29	SAMN21157004	Escherichia coli
SAMN26309321	5022941	114	44060.89	817658	203	0	0	145157	8	104617	16	48931	29	SAMN26309321	Escherichia coli
SAMEA5855140	4882451	140	34874.65	327567	204	0	0	131212	13	87864	22	31878	41	SAMEA5855140	Escherichia coli
SAMN13830321	4689625	567	8270.94	86870	212	0	0	25093	56	14620	105	5636	202	SAMN13830321	Escherichia coli
SAMN14478440	4583153	133	34459.8	327372	200	0	0	176747	10	95286	17	38682	33	SAMN14478440	Escherichia coli
SAMN41330392	5095669	272	18734.08	176422	200	0	0	70591	23	41534	41	21867	74	SAMN41330392	Escherichia coli
SAMN16272385	5162605	242	21333.08	252983	200	0	0	130924	14	65294	26	24748	52	SAMN16272385	Escherichia coli
SAMN33583534	4971338	60	82855.63	597991	234	0	0	282510	7	204345	11	114327	17	SAMN33583534	Escherichia coli
SAMN17038812	5167245	269	19209.09	675923	207	0	0	191808	8	109177	16	29855	32	SAMN17038812	Escherichia coli
SAMN04229569	5386861	314	17155.61	363460	207	0	0	99714	15	68167	27	25540	53	SAMN04229569	Escherichia coli
SAMEA7038622	4987388	185	26958.85	257234	201	0	0	100138	15	55059	28	25006	52	SAMEA7038622	Escherichia coli
SAMN12802334	4782846	559	8556.08	101923	204	0	0	25093	58	15014	107	5783	203	SAMN12802334	Escherichia coli
SAMN22608556	5287288	211	25058.24	318300	201	0	0	118030	14	87327	24	26443	44	SAMN22608556	Escherichia coli
SAMN06244802	4534311	95	47729.59	398064	203	0	0	127488	12	89694	20	34729	38	SAMN06244802	Escherichia coli
SAMEA6368202	5315968	213	24957.6	399908	202	0	0	107810	15	65061	28	29573	52	SAMEA6368202	Escherichia coli
SAMN26427185	5100017	251	20318.79	282282	200	0	0	126306	14	83242	23	24555	44	SAMN26427185	Escherichia coli
SAMN27009910	4276732	616	6942.75	71166	200	0	0	18232	70	11825	128	4395	243	SAMN27009910	Escherichia coli
SAMN19236090	5495558	399	13773.33	613990	200	0	0	160847	10	92381	20	25484	42	SAMN19236090	Escherichia coli
SAMN19135987	4793781	189	25363.92	180233	206	0	0	72182	23	50039	38	18089	72	SAMN19135987	Escherichia coli
SAMEA4464641	5953570	493	12076.21	344463	202	200	2	70775	26	31113	51	5812	143	SAMEA4464641	Escherichia coli
SAMN16636148	5267296	427	12335.59	377326	201	0	0	105392	13	73352	25	16286	52	SAMN16636148	Escherichia coli
SAMEA3876196	5256331	332	15832.32	282399	200	0	0	97147	16	53201	30	19268	62	SAMEA3876196	Escherichia coli
SAMN37231963	5121546	217	23601.59	499337	223	0	0	210813	8	82904	16	32717	34	SAMN37231963	Escherichia coli
SAMN29145255	5079686	132	38482.47	420835	217	0	0	159420	11	110011	18	42622	31	SAMN29145255	Escherichia coli
SAMN12324422	5446903	386	14111.15	321342	200	0	0	124299	15	57827	28	25222	55	SAMN12324422	Escherichia coli
SAMN09695346	5417586	323	16772.71	373065	205	100	1	194734	11	76247	20	22436	45	SAMN09695346	Escherichia coli
SAMN15889829	5170906	185	27950.84	508261	201	0	0	115000	10	83926	21	33195	39	SAMN15889829	Escherichia coli
SAMN06015602	5214860	251	20776.33	401385	200	0	0	122685	14	94469	23	29549	43	SAMN06015602	Escherichia coli
SAMEA110466850	4515158	533	8471.22	137266	200	0	0	34766	42	19825	77	6386	156	SAMEA110466850	Escherichia coli
SAMN11192210	5516252	526	10487.17	437929	200	0	0	97216	15	66177	28	11628	66	SAMN11192210	Escherichia coli
SAMN20606635	5172089	430	12028.11	379007	200	0	0	90293	15	49429	31	18596	61	SAMN20606635	Escherichia coli
SAMEA4043260	4904520	77	63695.06	515417	248	0	0	233654	8	164018	13	69673	22	SAMEA4043260	Escherichia coli
SAMN42231628	5232573	106	49363.9	1065442	202	0	0	389934	5	274431	8	87903	15	SAMN42231628	Escherichia coli
SAMEA56757418	4565820	476	9592.06	136816	202	0	0	28822	47	16533	88	5734	176	SAMEA56757418	Escherichia coli
SAMEA5622046	5003146	153	32700.3	224859	202	0	0	114181	16	90821	26	38203	44	SAMEA5622046	Escherichia coli
SAMN23385434	5463148	383	14264.09	375037	201	0	0	150212	11	88112	20	26324	41	SAMN23385434	Escherichia coli
SAMN31685145	5142717	157	32756.16	551925	200	0	0	260736	7	162848	12	43917	24	SAMN31685145	Escherichia coli
SAMN12785835	5288622	360	14690.62	350918	200	0	0	197772	11	109419	18	35685	33	SAMN12785835	Escherichia coli
SAMEA3472131	4764488	121	39375.93	258907	201	0	0	125725	14	83640	23	30891	42	SAMEA3472131	Escherichia coli
SAMEA5786924	4808651	128	37567.59	431829	206	0	0	169417	10	102009	18	40811	32	SAMEA5786924	Escherichia coli
SAMEA9850650	5269332	135	39032.09	612070	202	0	0	221310	7	176808	12	59736	22	SAMEA9850650	Escherichia coli
SAMN41500215	4894689	467	10481.13	150734	201	0	0	41213	36	26734	66	9364	123	SAMN41500215	Escherichia coli
SAMN10221190	4900641	300	16335.47	287056	204	100	1	76666	20	47909	36	11657	75	SAMN10221190	Escherichia coli
SAMEA8550420	5288837	163	32446.85	511842	207	0	0	205093	8	136587	14	41614	26	SAMEA8550420	Escherichia coli
SAMEA7818243	5186948	161	32217.07	753095	201	0	0	414718	5	244995	8	104844	15	SAMEA7818243	Escherichia coli
SAMEA9435863	4585136	88	52103.82	580462	202	0	0	217752	7	135400	12	68081	21	SAMEA9435863	Escherichia coli
