sample	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n	Sample	Species	HQ	hq_set
SAMEA5948141	2197352	89	24689.35	214296	205	0	0	108914	8	60375	14	35176	24	SAMEA5948141	Streptococcus pneumoniae	T	good_samples
SAMEA4008543	2784097	43	64746.44	333937	233	0	0	146636	8	125411	12	54585	18	SAMEA4008543	Staphylococcus aureus	T	good_samples
SAMN07152399	4617907	81	57011.2	537671	215	0	0	190054	8	126173	14	75596	24	SAMN07152399	Salmonella enterica	T	good_samples
SAMN04607364	4729749	57	82978.05	644914	210	100	1	439450	5	231818	8	115829	14	SAMN04607364	Salmonella enterica	T	good_samples
SAMN14258765	5181182	190	27269.38	755967	207	0	0	278601	6	197390	10	73402	18	SAMN14258765	Salmonella enterica	T	good_samples
SAMN13008983	4701960	39	120563.08	1508895	236	0	0	479308	3	310575	5	144196	9	SAMN13008983	Salmonella enterica	T	good_samples
SAMN25050079	4580245	124	36937.46	370749	204	0	0	147811	10	109258	17	41865	31	SAMN25050079	Escherichia coli	T	good_samples
SAMN05421841	4677754	17	275162.0	1963409	407	100	1	1032902	2	465389	3	209233	6	SAMN05421841	Chryseobacterium wanjuense	T	good_samples
SAMN29145286	5228965	278	18809.23	465439	202	0	0	249082	8	91101	15	29601	32	SAMN29145286	Escherichia coli	T	good_samples
SAMN21366479	5190959	113	45937.69	709989	220	0	0	245619	8	159637	13	42074	22	SAMN21366479	Escherichia coli	T	good_samples
SAMN15088219	3011806	313	9622.38	161286	213	0	0	43092	23	21845	44	7154	92	SAMN15088219	Enterococcus_B faecium	T	good_samples
SAMN12507521	2517469	81	31079.86	204347	213	0	0	73546	12	48301	20	26249	32	SAMN12507521	Staphylococcus epidermidis	T	good_samples
SAMEA115672682	4675135	121	38637.48	761814	203	0	0	381786	5	309597	8	86729	14	SAMEA115672682	Salmonella enterica	T	good_samples
SAMN36797496	5100851	107	47671.5	994904	201	0	0	466099	4	234768	7	81868	14	SAMN36797496	Salmonella enterica	T	good_samples
SAMN05427534	1649763	29	56888.38	182060	917	0	0	148537	5	68076	9	42713	16	SAMN05427534	Campylobacter_D jejuni	T	good_samples
SAMN10914599	2151080	164	13116.34	172967	204	0	0	41793	16	32096	27	11206	50	SAMN10914599	Neisseria gonorrhoeae	T	good_samples
SAMD00603583	4378565	182	24058.05	172318	215	0	0	66095	23	48621	38	17178	67	SAMD00603583	Mycobacterium tuberculosis	T	good_samples
SAMEA114490190	2095390	32	65480.94	573340	208	0	0	569217	2	175141	4	89055	7	SAMEA114490190	Streptococcus pneumoniae	T	good_samples
SAMEA6057441	4781637	96	49808.72	638003	209	0	0	309045	6	156135	10	79013	18	SAMEA6057441	Salmonella enterica	T	good_samples
SAMN37161029	4805600	94	51123.4	914329	222	0	0	363774	4	199490	8	93397	15	SAMN37161029	Salmonella enterica	T	good_samples
SAMN16982609	6491418	125	51931.34	384316	201	0	0	194092	13	126234	22	55079	38	SAMN16982609	Pseudomonas aeruginosa	T	good_samples
SAMN26895947	4824766	99	48735.01	759581	209	0	0	175264	8	143131	14	78852	23	SAMN26895947	Escherichia coli	T	good_samples
SAMN09224648	2138777	62	34496.4	315351	208	200	2	117425	5	71702	10	32127	19	SAMN09224648	Streptococcus pneumoniae	T	good_samples
SAMN11554220	2155974	123	17528.24	206583	214	0	0	65133	11	35343	21	16777	38	SAMN11554220	Neisseria gonorrhoeae	T	good_samples
SAMN12589446	3868445	292	13248.1	73535	204	0	0	21232	60	14446	104	7737	178	SAMN12589446	Bordetella pertussis	T	good_samples
SAMEA112330940	2767033	33	83849.48	544327	258	0	0	204966	4	115064	8	82490	13	SAMEA112330940	Staphylococcus aureus	T	good_samples
SAMEA13959379	5338649	171	31220.17	473938	200	0	0	107081	15	73359	27	26827	49	SAMEA13959379	Klebsiella pneumoniae	T	good_samples
SAMN15562567	2131888	65	32798.28	282885	216	0	0	114353	6	51089	12	35040	21	SAMN15562567	Streptococcus pneumoniae	T	good_samples
SAMN11102765	4550325	31	146784.68	1956745	201	0	0	698906	2	421470	4	195495	6	SAMN11102765	Salmonella enterica	T	good_samples
SAMN16265163	4786099	73	65563.0	1261319	220	0	0	506317	3	381467	6	140285	10	SAMN16265163	Salmonella enterica	T	good_samples
SAMN29960466	5119206	151	33902.03	646279	202	0	0	188976	8	116535	15	51871	27	SAMN29960466	Escherichia coli	T	good_samples
SAMN15850757	4968088	101	49188.99	1027121	201	0	0	181537	7	141264	13	56919	25	SAMN15850757	Salmonella enterica	T	good_samples
SAMEA112685497	4819498	91	52961.52	762410	210	0	0	454530	4	321080	7	110110	12	SAMEA112685497	Salmonella enterica	T	good_samples
SAMN20163992	4597118	88	52239.98	593966	201	0	0	241685	7	187888	11	110325	17	SAMN20163992	Salmonella enterica	T	good_samples
SAMN34436342	4677475	53	88254.25	1411848	205	0	0	497622	3	308442	5	135952	10	SAMN34436342	Salmonella enterica	T	good_samples
SAMEA3296144	6466985	111	58261.13	360358	201	0	0	210699	12	128666	20	67892	34	SAMEA3296144	Pseudomonas aeruginosa	T	good_samples
SAMN35801438	5201628	139	37421.78	608229	209	0	0	329239	6	185630	11	65183	20	SAMN35801438	Escherichia coli	T	good_samples
SAMN12204843	4851497	49	99010.14	1547163	204	0	0	491531	3	401018	5	153161	9	SAMN12204843	Salmonella enterica	T	good_samples
SAMEA8008350	2812902	78	36062.85	409974	207	0	0	110120	8	71520	14	40410	23	SAMEA8008350	Staphylococcus aureus	T	good_samples
SAMN07260981	4781250	37	129222.97	1549494	200	100	1	490221	3	401045	5	171195	8	SAMN07260981	Salmonella enterica	T	good_samples
SAMEA2662174	2698177	60	44969.62	248968	202	0	0	118227	8	73461	14	26960	27	SAMEA2662174	Staphylococcus aureus	T	good_samples
SAMEA1469911	2823698	75	37649.31	292265	203	0	0	132298	8	67716	14	36358	26	SAMEA1469911	Staphylococcus aureus	T	good_samples
SAMN10360833	4555584	84	54233.14	413985	203	0	0	133051	11	106278	19	42014	33	SAMN10360833	Escherichia coli	T	good_samples
SAMD00489598	2895741	67	43220.01	277528	201	0	0	151215	8	96720	13	42955	22	SAMD00489598	Staphylococcus aureus	T	good_samples
SAMEA7006660	3147346	76	41412.45	439680	201	0	0	380810	4	201443	7	72428	12	SAMEA7006660	Listeria monocytogenes	T	good_samples
SAMN35091438	2959076	19	155740.84	698656	255	0	0	520515	3	489494	4	253880	6	SAMN35091438	Listeria innocua	T	good_samples
SAMD00171445	5595953	156	35871.49	503371	204	0	0	312863	8	184919	12	49312	25	SAMD00171445	Klebsiella pneumoniae	T	good_samples
SAMEA104305205	3913690	75	52182.53	347684	201	0	0	162160	9	111922	14	46462	26	SAMEA104305205	Acinetobacter baumannii	T	good_samples
SAMN07655345	2071847	210	9865.94	65510	203	0	0	22866	26	15110	48	6691	86	SAMN07655345	Streptococcus pneumoniae	T	good_samples
SAMEA5038486	4995936	74	67512.65	937120	219	0	0	474257	4	277816	7	77222	14	SAMEA5038486	Salmonella enterica	T	good_samples
SAMN31141317	5297126	372	14239.59	258775	200	0	0	91956	17	56672	31	14301	67	SAMN31141317	Escherichia coli	T	good_samples
SAMN33797233	3937650	120	32813.75	176064	205	0	0	86424	16	58433	27	26519	47	SAMN33797233	Acinetobacter baumannii	T	good_samples
SAMN41752800	4737246	52	91100.88	650501	202	0	0	327421	5	153479	10	89018	18	SAMN41752800	Salmonella enterica	T	good_samples
SAMN09283918	4891469	52	94066.71	1009708	205	0	0	314102	4	210721	8	148969	14	SAMN09283918	Salmonella enterica	T	good_samples
SAMN12821256	4539331	68	66754.87	845779	201	0	0	262858	5	177918	9	99921	16	SAMN12821256	Salmonella enterica	T	good_samples
SAMN38726686	4735899	53	89356.58	1472831	224	0	0	394158	3	310856	6	149908	10	SAMN38726686	Salmonella enterica	T	good_samples
SAMN10505417	4613984	72	64083.11	1354112	225	0	0	333904	4	303783	7	104855	12	SAMN10505417	Salmonella enterica	T	good_samples
SAMN23226936	2769402	121	22887.62	340491	201	0	0	176582	6	121647	10	49773	17	SAMN23226936	Xylella taiwanensis	T	good_samples
SAMN37316870	1564699	43	36388.35	247746	250	0	0	123787	5	62070	9	24773	16	SAMN37316870	Campylobacter_D upsaliensis	T	good_samples
SAMN16885693	1740051	25	69602.04	352620	254	0	0	265731	3	163050	5	92600	8	SAMN16885693	Campylobacter_D coli	T	good_samples
SAMN37443242	4690560	45	104234.67	556949	213	0	0	308363	6	225726	9	140231	15	SAMN37443242	Salmonella enterica	T	good_samples
SAMEA111266545	5031271	95	52960.75	694385	201	0	0	280157	6	148521	11	55715	22	SAMEA111266545	Escherichia coli	T	good_samples
SAMN40546384	2980382	45	66230.71	529575	201	0	0	238080	5	139881	8	60155	15	SAMN40546384	Listeria monocytogenes_B	T	good_samples
SAMN40632216	4842093	47	103023.26	1350594	201	0	0	533882	3	398589	5	196900	9	SAMN40632216	Salmonella enterica	T	good_samples
SAMN15777509	4814483	52	92586.21	1133680	212	0	0	646290	3	299242	6	119052	11	SAMN15777509	Salmonella enterica	T	good_samples
SAMN41410746	4888005	108	45259.31	471519	201	0	0	179877	10	90466	18	47940	32	SAMN41410746	Salmonella enterica	T	good_samples
SAMEA9477706	4956916	84	59010.9	929109	200	0	0	282749	5	155715	10	74806	18	SAMEA9477706	Salmonella enterica	T	good_samples
SAMN11360308	4737554	45	105278.98	1378656	200	0	0	368291	4	301357	7	77310	14	SAMN11360308	Salmonella enterica	T	good_samples
SAMN23844077	5118768	226	22649.42	235802	203	0	0	97765	18	57057	32	17145	63	SAMN23844077	Escherichia coli	T	good_samples
SAMN33874116	1837638	101	18194.44	316029	202	0	0	142515	4	83729	8	27598	16	SAMN33874116	Campylobacter_D coli	T	good_samples
SAMN35820207	5024729	94	53454.56	1195850	201	0	0	203983	5	152328	10	67176	20	SAMN35820207	Salmonella enterica	T	good_samples
SAMN02849723	5038005	113	44584.12	336069	209	0	0	172401	11	91211	19	37256	36	SAMN02849723	Salmonella enterica	T	good_samples
SAMN03275489	3026240	24	126093.33	890939	312	0	0	435873	3	331531	4	100954	8	SAMN03275489	Listeria monocytogenes	T	good_samples
SAMEA1466918	2883948	76	37946.68	289532	222	0	0	170522	7	62017	13	30297	25	SAMEA1466918	Staphylococcus aureus	T	good_samples
SAMN08379667	4367005	176	24812.53	161511	200	0	0	51528	25	32842	46	16478	81	SAMN08379667	Mycobacterium tuberculosis	T	good_samples
SAMN10910366	4556094	96	47459.31	469344	209	0	0	312550	6	201244	10	77447	18	SAMN10910366	Salmonella enterica	T	good_samples
SAMEA7544257	4356893	106	41102.76	295949	219	0	0	132143	11	90187	19	45265	32	SAMEA7544257	Mycobacterium tuberculosis	T	good_samples
SAMEA3381665	2090916	50	41818.32	401062	214	0	0	118350	6	80427	10	48119	16	SAMEA3381665	Streptococcus pneumoniae	T	good_samples
SAMEA3447852	4905316	86	57038.56	666179	207	0	0	179921	8	126719	15	53124	26	SAMEA3447852	Salmonella enterica	T	good_samples
SAMEA12279727	2151588	143	15046.07	207644	200	0	0	52831	12	35453	22	16201	40	SAMEA12279727	Neisseria gonorrhoeae	T	good_samples
SAMN30335050	2753310	48	57360.62	526912	201	0	0	163631	5	126656	9	47993	15	SAMN30335050	Staphylococcus aureus	T	good_samples
SAMN09011418	2153233	192	11214.76	144171	200	0	0	35862	18	23903	33	9206	60	SAMN09011418	Neisseria meningitidis	T	good_samples
SAMEA4620609	2712915	40	67822.88	386358	206	0	0	199474	5	147305	8	81974	12	SAMEA4620609	Staphylococcus aureus	T	good_samples
SAMEA115102684	2170707	123	17648.02	328440	210	0	0	76397	8	48535	15	19428	29	SAMEA115102684	Neisseria gonorrhoeae	T	good_samples
SAMEA14035547	1679645	206	8153.62	106336	200	0	0	15031	34	9412	62	4782	112	SAMEA14035547	Campylobacter_D jejuni	T	good_samples
SAMN34361041	4752848	64	74263.25	615880	210	0	0	226706	7	148322	12	73472	22	SAMN34361041	Salmonella enterica	T	good_samples
SAMN10129547	5074182	47	107961.32	1875775	205	0	0	894234	2	506445	4	196948	6	SAMN10129547	Citrobacter werkmanii	T	good_samples
SAMEA114479026	1984209	24	82675.38	340049	207	0	0	244337	4	147065	6	63909	10	SAMEA114479026	Streptococcus pneumoniae	T	good_samples
SAMEA1403923	4386009	135	32488.96	234191	200	0	0	101883	15	73411	25	29124	43	SAMEA1403923	Mycobacterium tuberculosis	T	good_samples
SAMEA1117852	4390019	114	38508.94	256286	201	400	4	125547	12	93287	21	43648	34	SAMEA1117852	Mycobacterium tuberculosis	T	good_samples
SAMEA4649816	2026232	54	37522.81	232720	217	0	0	100286	7	68083	12	44221	19	SAMEA4649816	Streptococcus pneumoniae	T	good_samples
SAMN31097759	4771357	60	79522.62	698683	200	0	0	391766	5	299757	8	133082	12	SAMN31097759	Salmonella enterica	T	good_samples
SAMEA4978952	2107382	71	29681.44	204248	202	0	0	101277	7	61643	12	38151	21	SAMEA4978952	Streptococcus pneumoniae	T	good_samples
SAMEA111523679	5638661	174	32406.1	509668	208	0	0	191944	10	87257	18	31648	39	SAMEA111523679	Klebsiella pneumoniae	T	good_samples
SAMN16722174	5407093	207	26121.22	649269	202	0	0	249107	8	132399	14	41637	27	SAMN16722174	Escherichia coli	T	good_samples
SAMN25221502	4524618	74	61143.49	637944	216	0	0	271733	5	175297	9	67040	17	SAMN25221502	Salmonella enterica	T	good_samples
SAMN38228224	4870230	74	65813.92	820997	202	0	0	273140	6	162535	11	81016	20	SAMN38228224	Salmonella enterica	T	good_samples
SAMEA11023814	2040485	31	65822.1	452068	218	0	0	146917	4	84741	8	56425	14	SAMEA11023814	Streptococcus agalactiae	T	good_samples
SAMN14500663	2090768	114	18340.07	169847	201	0	0	65920	11	41044	19	19848	34	SAMN14500663	Neisseria meningitidis	T	good_samples
SAMN07633529	1822877	102	17871.34	287605	211	0	0	173769	4	83220	8	17041	14	SAMN07633529	Campylobacter_D jejuni	T	good_samples
SAMEA5326355	1763645	87	20271.78	290001	239	0	0	89853	6	56843	11	20546	21	SAMEA5326355	Campylobacter_D jejuni	F	removed_samples
SAMEA4831723	2038374	103	19790.04	199815	201	0	0	69036	9	37386	17	21575	32	SAMEA4831723	unknown	F	removed_samples
SAMEA3231264	480185	1206	398.16	10056	205	0	0	386	327	295	613	230	985	SAMEA3231264	unknown	F	removed_samples
SAMEA1556695	4422095	255	17341.55	281445	200	0	0	105631	13	89002	23	36555	38	SAMEA1556695	unknown	F	removed_samples
SAMN02781367	5185400	103	50343.69	466091	224	0	0	240222	8	168199	13	103777	21	SAMN02781367	unknown	F	removed_samples
SAMN09914677	7239592	198	36563.6	253310	200	0	0	100420	24	64729	41	28071	73	SAMN09914677	unknown	F	removed_samples
SAMN36935762	5621447	83	67728.28	1465339	212	0	0	547605	3	291698	6	109540	13	SAMN36935762	unknown	F	removed_samples
SAMEA1888902	4900559	279	17564.73	261237	201	0	0	98582	18	59735	31	23680	58	SAMEA1888902	unknown	F	removed_samples
SAMEA2247036	6111033	1192	5126.71	153756	200	0	0	15571	89	7841	204	2795	451	SAMEA2247036	unknown	F	removed_samples
SAMN18118230	4381812	137	31984.03	295611	200	0	0	106956	14	84425	23	42746	36	SAMN18118230	unknown	F	removed_samples
SAMEA4966658	4403025	196	22464.41	396273	200	0	0	91136	15	51866	28	22029	53	SAMEA4966658	unknown	F	removed_samples
SAMN09268912	5224278	131	39879.98	399175	209	0	0	219734	9	132707	16	69548	27	SAMN09268912	unknown	F	removed_samples
SAMN05276551	10956759	1454	7535.6	154071	201	0	0	19105	157	10955	308	3925	636	SAMN05276551	unknown	F	removed_samples
SAMEA1559215	1067701	25	42708.04	848662	206	0	0	848662	1	848662	1	200128	2	SAMEA1559215	unknown	F	removed_samples
SAMEA104360941	6125229	108	56715.08	895025	214	0	0	612077	4	253185	8	59075	18	SAMEA104360941	unknown	F	removed_samples
SAMN09232674	8099412	2800	2892.65	36198	202	0	0	4343	534	2641	1012	1274	1886	SAMN09232674	unknown	F	removed_samples
SAMN02923749	517571	46	11251.54	42451	204	0	0	18893	9	15954	15	7806	24	SAMN02923749	unknown	F	removed_samples
SAMEA7552627	4357531	219	19897.4	160528	204	0	0	49461	29	35975	49	15459	86	SAMEA7552627	unknown	F	removed_samples
SAMEA13291991	4306232	190	22664.38	173935	218	0	0	54886	23	34729	43	16709	77	SAMEA13291991	unknown	F	removed_samples
SAMN02738154	8433868	247	34145.21	528061	205	0	0	139984	16	68575	33	23217	75	SAMN02738154	unknown	F	removed_samples
SAMEA1919896	11459441	2150	5329.97	116506	200	0	0	22991	126	10543	269	2034	785	SAMEA1919896	unknown	F	removed_samples
SAMEA2444356	781885	1120	698.11	7535	205	0	0	873	257	577	479	335	831	SAMEA2444356	Chlamydia trachomatis	F	removed_samples
SAMEA4927354	3589340	417	8607.53	84579	205	0	0	21794	45	13418	88	4490	173	SAMEA4927354	unknown	F	removed_samples
SAMEA5378516	5539928	103	53785.71	617887	202	0	0	317345	6	143358	11	67008	20	SAMEA5378516	unknown	F	removed_samples
SAMN22202800	7819626	747	10468.04	379949	200	0	0	76870	28	43253	55	17727	111	SAMN22202800	unknown	F	removed_samples
SAMN07998988	4392366	213	20621.44	295570	200	0	0	93974	17	60714	28	23073	53	SAMN07998988	unknown	F	removed_samples
SAMN03765103	2030570	123	16508.7	149963	203	200	2	44407	15	30145	26	13013	46	SAMN03765103	unknown	F	removed_samples
SAMD00253783	250332	75	3337.76	14729	221	0	0	7016	12	3604	23	1623	44	SAMD00253783	unknown	F	removed_samples
SAMN08886632	1987785	750	2650.38	55960	200	0	0	12665	43	5987	89	1465	215	SAMN08886632	Parasynechococcus sp003210795	F	removed_samples
SAMN41594458	2227575	63	35358.33	141873	223	0	0	71131	12	38865	20	23067	34	SAMN41594458	unknown	F	removed_samples
SAMN33940346	4359947	39	111793.51	1876594	212	0	0	878007	2	431620	3	125024	7	SAMN33940346	unknown	F	removed_samples
SAMEA112354796	1088336	1802	603.96	2326	200	0	0	619	629	497	1023	398	1512	SAMEA112354796	Mycobacterium tuberculosis	F	removed_samples
SAMEA7225426	4513639	246	18348.13	334930	201	0	0	77526	18	42865	35	19797	66	SAMEA7225426	unknown	F	removed_samples
SAMN17732696	5910403	289	20451.22	184610	201	0	0	52893	34	28506	64	13385	123	SAMN17732696	unknown	F	removed_samples
SAMEA7456135	13014783	566	22994.32	449904	201	0	0	138424	31	75577	56	29309	107	SAMEA7456135	unknown	F	removed_samples
SAMN39918490	4227814	205	20623.48	522231	208	0	0	215796	6	39461	18	9074	66	SAMN39918490	unknown	F	removed_samples
SAMEA8204158	9159953	135	67851.5	1538931	202	0	0	345534	7	247950	14	95445	25	SAMEA8204158	unknown	F	removed_samples
SAMEA5368187	2843524	184	15453.93	107722	205	0	0	44809	22	25632	38	10047	73	SAMEA5368187	unknown	F	removed_samples
SAMD00253838	691107	127	5441.79	29979	255	0	0	11853	19	6993	35	2406	70	SAMD00253838	unknown	F	removed_samples
SAMN03249366	3371554	1213	2779.52	23050	224	0	0	3902	264	2543	477	1343	833	SAMN03249366	Bordetella pertussis	F	removed_samples
SAMN02567675	10724559	711	15083.77	417803	205	0	0	107876	27	43312	58	10651	154	SAMN02567675	unknown	F	removed_samples
SAMN15772763	3415669	2942	1161.0	12425	204	0	0	1537	695	1027	1239	559	2131	SAMN15772763	Mycobacterium tuberculosis	F	removed_samples
SAMD00320796	8813558	260	33898.3	918144	200	0	0	215810	11	155593	20	55219	37	SAMD00320796	unknown	F	removed_samples
SAMEA4977830	7658536	132	58019.21	1608078	201	0	0	518027	5	126286	15	48413	33	SAMEA4977830	unknown	F	removed_samples
SAMN18118329	4384426	142	30876.24	295605	202	0	0	106794	13	72557	23	40508	38	SAMN18118329	unknown	F	removed_samples
SAMEA104317936	2978746	114	26129.35	173802	200	0	0	107632	12	49347	21	27139	36	SAMEA104317936	unknown	F	removed_samples
SAMEA104369548	3085528	567	5441.85	30629	207	0	0	8669	108	4974	201	2566	367	SAMEA104369548	unknown	F	removed_samples
SAMN41329238	4409501	185	23835.14	579394	219	0	0	69432	12	25788	34	11150	86	SAMN41329238	unknown	F	removed_samples
SAMEA104165357	13589756	382	35575.28	559203	201	0	0	179261	28	104380	47	46335	85	SAMEA104165357	unknown	F	removed_samples
SAMN40030768	6369728	436	14609.47	197228	213	0	0	96595	24	25118	50	6741	153	SAMN40030768	unknown	F	removed_samples
SAMEA4832910	2219625	194	11441.37	170430	200	0	0	80975	10	49679	17	19001	28	SAMEA4832910	unknown	F	removed_samples
SAMN07344666	4329458	174	24881.94	178687	217	0	0	61546	23	40333	40	16119	72	SAMN07344666	unknown	F	removed_samples
SAMEA3252110	1429004	108	13231.52	81207	341	0	0	19461	22	12974	38	7208	65	SAMEA3252110	Campylobacter_D jejuni	F	removed_samples
SAMN15144512	5026300	430	11689.07	264193	214	0	0	38560	41	25241	72	8471	137	SAMN15144512	unknown	F	removed_samples
SAMN13568150	4675611	448	10436.63	85655	200	0	0	22550	68	14501	120	6526	212	SAMN13568150	Mycobacterium tuberculosis	F	removed_samples
SAMEA5163228	3115632	300	10385.44	94102	203	0	0	27777	35	21465	61	7853	105	SAMEA5163228	unknown	F	removed_samples
SAMN11268636	3209739	719	4464.17	223054	232	0	0	7096	112	4053	233	1864	468	SAMN11268636	unknown	F	removed_samples
SAMEA112941911	5046318	219	23042.55	320943	203	0	0	104698	16	57824	28	16939	56	SAMEA112941911	unknown	F	removed_samples
SAMEA104352162	4839229	107	45226.44	545946	203	0	0	294681	6	144979	11	78122	20	SAMEA104352162	unknown	F	removed_samples
SAMEA112938395	5081265	247	20571.92	332065	202	0	0	121894	14	71869	24	28004	47	SAMEA112938395	unknown	F	removed_samples
SAMEA5616250	8485578	279	30414.26	625726	201	0	0	136004	16	83243	32	32844	64	SAMEA5616250	unknown	F	removed_samples
SAMN24016635	8059429	189	42642.48	484558	202	0	0	178070	16	97453	28	49760	50	SAMN24016635	unknown	F	removed_samples
SAMN32927295	3779449	243	15553.29	153558	200	0	0	53440	20	30147	39	12057	79	SAMN32927295	unknown	F	removed_samples
SAMN02692960	4001032	207	19328.66	233996	201	0	0	76423	17	43580	30	14901	58	SAMN02692960	unknown	F	removed_samples
SAMN04600694	9497756	1515	6269.15	187277	200	0	0	16457	95	7427	274	2811	693	SAMN04600694	unknown	F	removed_samples
SAMN41685456	6249554	1204	5190.66	177250	204	0	0	39664	46	10480	102	1686	466	SAMN41685456	unknown	F	removed_samples
SAMEA4727927	4816622	248	19421.86	175329	203	0	0	54339	26	32683	50	11279	97	SAMEA4727927	unknown	F	removed_samples
SAMEA7553171	4349359	216	20135.92	160996	217	0	0	51692	28	36014	49	16175	83	SAMEA7553171	unknown	F	removed_samples
SAMN10163183	4551946	353	12895.03	227208	207	200	2	105182	15	57183	27	14640	55	SAMN10163183	unknown	F	removed_samples
SAMN22442609	9628529	611	15758.64	203908	200	0	0	45770	61	27584	116	10024	227	SAMN22442609	unknown	F	removed_samples
SAMN12789323	2782258	40	69556.45	442867	237	0	0	221767	5	149536	8	43442	14	SAMN12789323	unknown	F	removed_samples
SAMN07609881	4218592	333	12668.44	111525	200	0	0	25197	51	15748	94	6707	177	SAMN07609881	unknown	F	removed_samples
SAMN40188778	3030361	28	108227.18	862527	201	0	0	478796	3	364538	4	97943	8	SAMN40188778	unknown	F	removed_samples
SAMEA104447303	5050846	924	5466.28	52752	200	0	0	10858	141	6876	256	2892	472	SAMEA104447303	Mycobacterium tuberculosis	F	removed_samples
SAMN41498831	8321327	486	17122.07	202679	201	0	0	38364	64	24380	118	13160	210	SAMN41498831	unknown	F	removed_samples
SAMEA4967132	13892525	1061	13093.8	587755	200	0	0	53824	59	23789	135	5670	378	SAMEA4967132	unknown	F	removed_samples
SAMEA8611027	11912830	184	64743.64	897188	201	0	0	295871	12	170761	23	65220	45	SAMEA8611027	unknown	F	removed_samples
SAMN02391244	5542629	187	29639.73	349135	200	0	0	131276	15	64651	28	30812	53	SAMN02391244	unknown	F	removed_samples
SAMEA7455553	13098661	810	16171.19	342641	200	0	0	107398	36	60153	70	18979	146	SAMEA7455553	unknown	F	removed_samples
SAMEA5163099	9061062	128	70789.55	925332	202	0	0	348070	8	253762	14	127028	25	SAMEA5163099	unknown	F	removed_samples
SAMN07373568	7151115	180	39728.42	576160	202	200	2	123129	17	79794	31	32379	59	SAMN07373568	unknown	F	removed_samples
SAMN06322128	9581884	510	18788.01	724806	209	0	0	46840	25	22782	87	8641	224	SAMN06322128	unknown	F	removed_samples
SAMN12024223	4592891	34	135085.03	1699018	221	0	0	1159827	2	475900	3	162197	6	SAMN12024223	unknown	F	removed_samples
SAMEA8718409	3885059	1765	2201.17	24064	208	0	0	3622	315	2115	596	954	1135	SAMEA8718409	Mycobacterium tuberculosis	F	removed_samples
SAMN04516438	3732087	5322	701.26	17848	200	0	0	963	1006	582	2008	281	3846	SAMN04516438	Moraxella bovoculi	F	removed_samples
SAMEA3726530	5222475	87	60028.45	1283219	208	0	0	335437	5	157147	10	55601	22	SAMEA3726530	unknown	F	removed_samples
SAMN08626275	10921991	1061	10294.05	225438	200	0	0	53616	63	35330	113	15066	205	SAMN08626275	unknown	F	removed_samples
SAMEA6872196	4688479	412	11379.8	102392	200	0	0	24805	60	15909	107	6676	198	SAMEA6872196	Mycobacterium tuberculosis	F	removed_samples
SAMN14547752	5093685	118	43166.82	331508	205	0	0	158859	12	100707	21	42614	37	SAMN14547752	unknown	F	removed_samples
SAMEA7530769	10352968	423	24475.1	529109	200	0	0	116192	27	83277	48	41990	83	SAMEA7530769	unknown	F	removed_samples
SAMN31942661	4388024	184	23847.96	161644	231	0	0	66063	22	48433	37	16962	69	SAMN31942661	unknown	F	removed_samples
SAMEA110354390	7239658	1333	5431.1	72902	211	0	0	13245	134	5935	297	1898	739	SAMEA110354390	Escherichia coli	F	removed_samples
SAMEA113538117	4317758	162	26652.83	154498	205	0	0	74912	21	45649	35	24495	60	SAMEA113538117	unknown	F	removed_samples
SAMN06250728	4284496	156	27464.72	227537	268	0	0	74755	19	47996	34	17317	62	SAMN06250728	unknown	F	removed_samples
SAMN25999751	4372431	80	54655.39	899808	200	0	0	381475	4	282235	6	87979	12	SAMN25999751	unknown	F	removed_samples
SAMEA1676690	4614663	139	33199.01	468075	207	0	0	131512	11	92678	20	36687	34	SAMEA1676690	unknown	F	removed_samples
SAMEA7622517	3109379	1736	1791.12	40502	204	0	0	3609	200	1789	443	627	1061	SAMEA7622517	unknown	F	removed_samples
SAMN40031374	4423730	165	26810.48	191782	210	0	0	104355	16	70285	26	26958	45	SAMN40031374	unknown	F	removed_samples
SAMN37457318	7027472	244	28801.11	243457	205	0	0	69726	30	49541	53	21022	96	SAMN37457318	unknown	F	removed_samples
SAMN02598975	4383894	124	35353.98	281824	200	0	0	104259	13	64626	24	27837	41	SAMN02598975	unknown	F	removed_samples
SAMEA104157300	2180142	72	30279.75	525568	205	0	0	156015	3	81583	7	38059	15	SAMEA104157300	unknown	F	removed_samples
SAMEA110354880	5128172	138	37160.67	613996	202	0	0	184286	8	92202	16	54174	31	SAMEA110354880	unknown	F	removed_samples
SAMEA4889212	5592853	275	20337.65	585453	201	0	0	214486	9	113327	16	27894	33	SAMEA4889212	unknown	F	removed_samples
SAMD00028872	621827	658	945.03	6930	392	0	0	1138	155	701	295	469	514	SAMD00028872	Acinetobacter baumannii	F	removed_samples
SAMN21926411	6601331	715	9232.63	719580	201	0	0	129709	14	14277	37	3148	272	SAMN21926411	unknown	F	removed_samples
SAMN08134210	2963894	42	70568.9	793093	294	0	0	293742	3	239936	6	145661	8	SAMN08134210	unknown	F	removed_samples
SAMEA7554461	4275727	229	18671.3	179906	260	0	0	37123	35	24266	64	11875	111	SAMEA7554461	unknown	F	removed_samples
